tweet_id	tweet_text	class_label
909429380702642177	Hurricane Irma victims the media doesn't want you to see https://t.co/KMnX8v1nkp	affected_individuals
910052122921771008	Pinellas Co. grandma stuck in her home after Irma https://t.co/9nD4fajUsT https://t.co/mFgVYnlDIp	affected_individuals
908012562469572608	Those Affected by Harvey and Irma Should Review Their Insurance Coverage https://t.co/8hAZhdNK9b https://t.co/YOyzzNEmCu	affected_individuals
909720414271807488	Desperation spreads among seniors week after Hurricane Irma https://t.co/jh10YziLcM https://t.co/uTKmWBUrX9	affected_individuals
911655630460669953	RT @theipaper: â€˜Miracleâ€™ baby born in Mexico City as â€˜world fellâ€™ during earthquake https://t.co/6OVKNW7QqO https://t.co/d5Ozp3JSf1	affected_individuals
904589659564630016	Astros return home, huddle with Harvey evacuees https://t.co/YSydrBskep https://t.co/qB6j6VsI8q	affected_individuals
921875031533203457	Yet Puerto Rico doesn't even have clean water yet https://t.co/18a6kiWE5J	affected_individuals
907361650600140800	Harvey victims face temporary housing shortage in Houston https://t.co/6knOqsk6M3 https://t.co/voz7N0xMpZ	affected_individuals
921482506922323969	A Mishawaka woman found herself right in the middle of the California wildfires. Her story tonight at 6 https://t.co/gyJLqLQEo7	affected_individuals
922606066034270208	Families of Halifax students continue to confront hurricane aftermath https://t.co/PzgzbbKyhR https://t.co/ou6Ra4zd9X	affected_individuals
920236266335162368	#BEARFIRE Fire in Santa Cruz mountains forces evacuations near Bear Crk Canyon Rd. https://t.co/hGrXVj6Xso https://t.co/n4Hbl5xsds via @KTVU	infrastructure_and_utility_damage
909220520461180928	Rookeries take a hit from Harvey https://t.co/erVqcVOoe3 https://t.co/AFJeBjic7h	infrastructure_and_utility_damage
929055117210472448	Our team in Puerto Rico working on water supply problems at Cruz-Garcia and Jose-Padin schools. https://t.co/MzMma1cqmH	infrastructure_and_utility_damage
921854452465917953	RT @MSNBC: Lester Holt: Puerto Rico is the equivalent to a war zone https://t.co/wfAJ0w7b3T https://t.co/LwBItnKSQg	infrastructure_and_utility_damage
909760536446930944	RT @I4Ultimate: #I4Ultimate crews have repaired #Irma damage to WB I-4 on-ramp from SR-434. Ramp is open! https://t.co/f9tJm5kKM5	infrastructure_and_utility_damage
908019661543002112	Houston home sales plunged 25 percent in August as Harvey approached https://t.co/0SiihFEyLD https://t.co/CSZ8pvmWm3	infrastructure_and_utility_damage
901663546701905920	RT @BBCJamesCook: The little town of Rockport has suffered severe damage from #HurricaneHarvey. https://t.co/fBZFMABaKZ	infrastructure_and_utility_damage
910532720870137856	Sad day for Mexico City. Our home was hitting by an aggressive Earthquake, again on September 19th. https://t.co/pBrVZgpfl3	infrastructure_and_utility_damage
920081216837115904	Searchers pick through burned-out California homes for bodies https://t.co/XWMH8UG3AJ https://t.co/gEeDT1O2va	infrastructure_and_utility_damage
921332920840843265	California Wildfires Caused Over $1 Billion in Insured Losses - https://t.co/lQUUGaIOUk https://t.co/R8j6fLaSBs	infrastructure_and_utility_damage
905239945958178816	Selena's family mourning the death of Houston relatives killed in Harvey flooding https://t.co/4fHBy7q3D0 #KSATnews https://t.co/wfy4OPZUrI	injured_or_dead_people
918052612804505600	California fire: 15 dead, 150 others still missing https://t.co/4yj30iguq2 #News #Nigeria https://t.co/Fw65rWrsVR	injured_or_dead_people
930482499427241984	Iran’s earthquake death toll raised to 530: declared an emergency https://t.co/rzx5zDge0h https://t.co/wvx2DrQlhG	injured_or_dead_people
910057725186445313	Tennessee and Florida football sport helmet decals showing support for Hurricane Irma victims -‚Ä¶ https://t.co/LgzpnvTNbc	injured_or_dead_people
930020107698556929	Earthquake in #Iran: - 341 were killed - 4000 were wounded https://t.co/8d4UqHBy7k	injured_or_dead_people
930074418944110593	#LATEST #UPDATE Iraq-Iran M7.5 earthquake -- 372+ killed, 6,000+ wounded https://t.co/9PN5Vsowtj https://t.co/H0ywPgvy9x	injured_or_dead_people
929993504662720512	7.3 MAGNITUDE EARTHQUAKE HITS IRAN-IRAQ; MANY KILLED, THOUSANDS INJURED. https://t.co/BnsJS2pmus https://t.co/7UBHXQBoRg	injured_or_dead_people
911962200402784259	RT @2020lif: All my sorrow and sorrow on the people of Mexico on the earthquake. Anshalah Mavi lost lives.á½¡4á½¡4 https://t.co/Ojlncyqy4j	injured_or_dead_people
910784474337574912	PHOTOS â€“ Earthquake Leaves 225 People Dead, Many Injured In Mexico https://t.co/xABLDeIPnW https://t.co/yPtsjUCQxF	injured_or_dead_people
910533378897674240	Death toll rises to at least 217 people, including school children found dead under rubbleâ€¦ https://t.co/gkDgQlOVs4 https://t.co/wAEg4bRhBZ	injured_or_dead_people
913474174580084737	My friend needs our help finding her father. Please see details below #PuertoRico #PR #HurricaneMaria https://t.co/8K7bqXjgtG	missing_or_found_people
921662384976154624	MN man searches for family in Puerto Rico https://t.co/89x6U3P0Ib https://t.co/IxBqJqTJFO	missing_or_found_people
910133672266944513	While SFWMD's EOC remains activated to focus on #Irma recovery efforts, water managers are also closely monitoring… https://t.co/wMji4ZRcSk	missing_or_found_people
913697454788358145	#NASAâ€™s suitcase-sized radar helps find #earthquake survivors in #Mexico https://t.co/pNkfezMfg0 https://t.co/WGwDEjqS9Q	missing_or_found_people
