tweet_id	tweet_text	class_label
905960092822003712	RT @tveitdal: Where Harvey is hitting hardest, 80 percent lack flood insurance https://t.co/p0xVVe3kNP https://t.co/xaHjtRRGMq	severe_damage
918008272363368448	#NAPA #California #wildfires HORRIBLE, NO WORDS, why destroy our beautiful #Planet ? https://t.co/UvQgobCrys	severe_damage
909396901254090752	RT @business: Caribbean tax haven begins to bounce back after Irma https://t.co/GD2t473mAE https://t.co/TgIPV28IJD	severe_damage
912097936200355841	@StormReportWX Steve, have you seen this from Tim Marshall ... NWS San Juan WSR damage... #hurricanemaria https://t.co/Heslyucxnf	severe_damage
922610290281402368	Thanks for following! please share! https://t.co/dtkMVtB3oM https://t.co/oD9DeZ1yTk	little_or_no_damage
919585500914208768	Northern California wildfires expose emergency alert weaknesses in cellphone era https://t.co/CK58jwqAmS https://t.co/uTlzmd4cwz	severe_damage
914372204787355648	RT @leylasantiago: Palm trees have very little left on them #SanJuan #PuertoRico #hurricanemaria #cnn https://t.co/Uj1ky3HrsC	little_or_no_damage
921623155835224064	Reuters-California wildfire aftermath from above https://t.co/wIpWeBL3CL @Reuters https://t.co/Ii02FTgdHL	severe_damage
906792024094986240	Had to get to a safe place until tornado watch expires #BoyntonBeach #HurricaneIrma @WPBF25News https://t.co/aNiYXlIrrR	mild_damage
910118839081472000	Did your gate or commercial door get damaged by #Irma? Call Action 239-768-DOOR or email info@actiondoor.com https://t.co/EUtT4TgpSQ	little_or_no_damage
931898198569996288	#Iran Daily: US Treasury Blocks Donations for Earthquake Survivors https://t.co/SvpZrkxsuc https://t.co/wZaAmD6aei	severe_damage
905069428341174272	Helping Harvey Victims Without Getting Scammed https://t.co/kA1oSO0tfW https://t.co/UqsdUJkhvD	severe_damage
909796661756653569	How Hurricane Irma could impact the food industry... https://t.co/OZHozgTkeu https://t.co/PIRkwdSN0l	severe_damage
907345772823408642	Hurricane #Harvey Blog: When No News is Good News https://t.co/YcXqqoOY0k https://t.co/7w2SiadFj1	mild_damage
914928771865694209	Survived #HurricaneMaria. Deep in island still no visible help from #FEMA nor #Army except guarding gas stations. https://t.co/N2wRw5MiwO	mild_damage
910170497689759744	Kneemail from Scott...Irma Update https://t.co/EJSr32XidZ https://t.co/KLlqmuz955	little_or_no_damage
908566528898895872	Finally finished with walls! Now on to sorting losses #Harvey #HoustonStrong #NewSeason https://t.co/Sscz9aDQLl	little_or_no_damage
911750614631243776	RT @usvirginislands: Major Flooding on St. Thomas #HurricaneMaria #USVI #VirginIslands https://t.co/oCsp3iihxO	severe_damage
904814892095598592	Gov. Abbott adds Bastrop, Lee counties to list of Disaster Declaration after Harvey https://t.co/x6kPFFxt5y https://t.co/PFAHM5GK95	mild_damage
913100773264957447	Hurricane Maria pushes Puerto Rico's struggling hospitals to crisis point https://t.co/1iQRGBbgdZ https://t.co/KXuJrJ49gY	severe_damage
910213017681281024	Head to @shoreclubchi on Sunday for an amazing #HurricaneIrma Disaster Relief Event! It is truly such a great cause… https://t.co/Pen1G2FZjK	mild_damage
922560865144012803	Visiting family in Puerto Rico amid devastation https://t.co/mEN9ooUt5E via @yahoophoto https://t.co/68kT8Alnnu	mild_damage
