tweet_id	image_id	tweet_text	image_path	class_label
905692127199461376	905692127199461376_0	'We also need help,' Puerto Rican citizens say about Hurricane Irma https://t.co/vWJauMqto5 https://t.co/kMcWYuxKuF	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\hurricane_irma\7_9_2017\905692127199461376_0.jpg	affected_individuals
904606499707555840	904606499707555840_0	This Immigrant Community Is Returning Home To Deal With The Damage That Harvey Wrought https://t.co/4SxiMgNn34 https://t.co/0x7VGtcdiQ	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\hurricane_harvey\4_9_2017\904606499707555840_0.jpg	affected_individuals
901646202567053312	901646202567053312_0	RT @Rique_210: We Survived Once We Can Survive Again #HurricaneHarvey https://t.co/280Qb9DhRj	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\hurricane_harvey\27_8_2017\901646202567053312_0.jpg	affected_individuals
908446167545126912	908446167545126912_0	Family With Newborn Experiences Both Hurricane Harvey &amp; Irma: https://t.co/04DXhv7bys (Bruce Coane Twitter) https://t.co/m8TIRkNPpD	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\hurricane_harvey\14_9_2017\908446167545126912_0.jpg	affected_individuals
930122324510105600	930122324510105600_0	Girl students' dormitory ruined after terrible earthquake, west of Iran. https://t.co/VjKcsJi4Ij	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\iraq_iran_earthquake\13_11_2017\930122324510105600_0.jpg	affected_individuals
905188910720004096	905188910720004096_0	Austin ISD prepares for 'thousands' of students displaced by #HurricaneHarvey. https://t.co/YtfjQ7FtLY https://t.co/A6xa7TqamH	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\hurricane_harvey\5_9_2017\905188910720004096_0.jpg	affected_individuals
913419277830520833	913419277830520833_0	For many of the survivors of Mexico's earthquake, the difficulties are only just beginning https://t.co/5yePjjlMdF https://t.co/06MxpnqZqh	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\mexico_earthquake\28_9_2017\913419277830520833_0.jpg	affected_individuals
910716949843337216	910716949843337216_1	#Earthquake - our friends in #Mexico need your help too! - #BTC to: 39iwbv5RzKFqWvHM9AH4NTj1KJ6Jgd8ShQ https://t.co/bLvTZiig9Y	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\mexico_earthquake\21_9_2017\910716949843337216_1.jpg	affected_individuals
923515947251523584	923515947251523584_0	After Hurricane, Puerto Rico Face Possible Disease Epidemic https://t.co/hSrXYyLJP9 https://t.co/8kVc4fvHVn	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\hurricane_maria\26_10_2017\923515947251523584_0.jpg	affected_individuals
909447240959262720	909447240959262720_0	As residents are allowed back into the lower #FloridaKeys this is what some will find in #RamrodKey @CBSNews #Irma https://t.co/KFFVTaQ7hF	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\hurricane_irma\17_9_2017\909447240959262720_0.jpg	affected_individuals
901655045355208704	901655045355208704_0	RT @bosofbeauty: Our home is destroyed, #fulton #HurricaneHarvey #nowheretogohometo https://t.co/sKeB0K4Sn6	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\hurricane_harvey\27_8_2017\901655045355208704_0.jpg	infrastructure_and_utility_damage
911709683446140928	911709683446140928_0	Bridge twisted apart and homes toppled as ANOTHER powerful aftershock ravages earthquakeâ€¦ https://t.co/s2ANDqvTdm https://t.co/n1KEmmeCoL	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\mexico_earthquake\23_9_2017\911709683446140928_0.jpg	infrastructure_and_utility_damage
915079996900827136	915079996900827136_0	Arriba Mexico Is the Airbnb for Homes Destroyed by Earthquake https://t.co/I09ezvJ0YT https://t.co/IY6Ti4wAQr	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\mexico_earthquake\3_10_2017\915079996900827136_0.jpg	infrastructure_and_utility_damage
901804808105066496	901804808105066496_0	This is David Strauss. He saw a red SUV get stuck yesterwhen a manhole cover came off. #harvey https://t.co/TgCSyL1MYm	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\hurricane_harvey\27_8_2017\901804808105066496_0.jpg	infrastructure_and_utility_damage
911794471804784641	911794471804784641_0	15 horrifying photos that reveal how bad the #MexicoCity earthquake really is https://t.co/f8QiaxN3Dg https://t.co/fBSsg5ztDM	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\mexico_earthquake\24_9_2017\911794471804784641_0.jpg	infrastructure_and_utility_damage
912048104651788289	912048104651788289_2	Extra images of the leaning building #MexicoEarthquake https://t.co/SibrGMDgjv	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\mexico_earthquake\24_9_2017\912048104651788289_2.jpg	infrastructure_and_utility_damage
907475708976525312	907475708976525312_0	Last week, I was on a boat! #Harveyflood #Harvey https://t.co/kXltJ4zybE	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\hurricane_harvey\12_9_2017\907475708976525312_0.jpg	infrastructure_and_utility_damage
905695796422684673	905695796422684673_0	Island hotel lashed by brutal wind and driving rain https://t.co/nSIbzJQnfs #USNews #USRC https://t.co/Otjvyo7MaZ	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\hurricane_irma\7_9_2017\905695796422684673_0.jpg	infrastructure_and_utility_damage
909890256299745280	909890256299745280_1	Our yard after Hurricane Irma. #IrmaGerd https://t.co/r4qLh7Ebqh	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\hurricane_irma\18_9_2017\909890256299745280_1.jpg	infrastructure_and_utility_damage
910091744917770241	910091744917770241_0	Hurricane Irma; Power Now Almost Fully Restored Across Bay Area https://t.co/G3nKzKNHi1 https://t.co/ZIQJm982XW	D:\Workspace\Cotrain_CrisisMMD\data\CrisisMMD_v2.0\data_image\hurricane_irma\19_9_2017\910091744917770241_0.jpg	infrastructure_and_utility_damage
