tweet_id	tweet_text	class_label
917793137925459968	RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr	infrastructure_and_utility_damage
917815040962695168	RT @TheAtlantic: Photos of California's destructive wildfires, via @TheAtlPhoto: https://t.co/mzYsQALqrl https://t.co/bWvczIJa2Z	infrastructure_and_utility_damage
917828283047260161	Why California's #wildfires are worse in the fall. https://t.co/F6fMb97Djd https://t.co/jXmu1pAXpr	other_relevant_information
917830092620836864	Playing with my new friend, Chai. She's a California fire evacuee starting with us for a few days. I â¤ï¸ her! https://t.co/Z5PmkUyUJ5	not_humanitarian
917832022017445888	RT @Ciscokid__: Calistoga Fire #tubbsfire #napafire #ABC7now #kron4news #fire #california #napa https://t.co/aTcggkpkNe	not_humanitarian
917954508231184385	RT @riellarose: When the entire state of California is on fire https://t.co/LuhKo2R2Wn	other_relevant_information
917991257594572800	Emergency medical supplies delivered tonight to Sonoma Public Health for evacuees of Northern California #Wildfires https://t.co/VjIgVAQBLL	rescue_volunteering_or_donation_effort
918046279120408576	The devastating #wildfires in California still not letting up. Details right now at 5:30 #ABC11 https://t.co/61S0Rb0lbu	other_relevant_information
918312987299012608	RT @azhaayanna: meanwhile california is on fire and it looks like we're living in blade runner. https://t.co/7f0pPHGe8B	not_humanitarian
918354135350616064	Anyways, I drove through the Redwood Forest then next to the California wildfires https://t.co/yiK5BQh7PF	other_relevant_information
919578094398144513	During our Summer long research on the #IRCURVE The Great Basin Inhale and Exhale was noted https://t.co/XTZmqqpZOl https://t.co/hHkjPqvSqw	not_humanitarian
919605179443490822	"The conspiracy nuts are saying the California Wildfires ""set by an atmospheric weapon."" :/ https://t.co/Mzhra0MaGj"	other_relevant_information
919668662688239627	Galifornia in Spain (picture), the Amazon in Brazil, California... The world in on fire á½¢Dá½¢1 https://t.co/hpPOaiIpLs	not_humanitarian
919715738104995840	#California #wildfire north of #Yosemite today. https://t.co/bd5JVikVuW	other_relevant_information
919806240183631872	Scottsdale fire crew helps battle Northern California fires https://t.co/Ufnv07ocNP https://t.co/yR4KY0IlGE	rescue_volunteering_or_donation_effort
